# 3D point list with one line of data per point
#  POINT_ID, X, Y, Z, R, G, B, ERROR
478 23.821777 5.953567 -3.326233 77 93 56 0
479 23.887207 5.991825 -3.314129 79 95 51 0
480 23.159332 6.255073 -3.327129 65 84 38 0
481 23.282478 6.275984 -3.330353 66 82 44 0
482 12.723560 6.340008 -3.319755 159 157 153 0
483 12.791003 6.356484 -3.344327 155 152 148 0
484 12.949430 6.432648 -3.442111 164 154 149 0
485 13.198429 6.343842 -3.354064 154 158 150 0
486 23.336227 6.355263 -3.337271 64 81 41 0
487 23.489159 6.383533 -3.343321 66 82 44 0
488 23.634964 6.430255 -3.401692 68 86 46 0
489 23.748220 6.443725 -3.392205 63 82 43 0
490 23.826059 6.509121 -3.361171 74 90 54 0
491 23.908346 6.556185 -3.382483 73 88 53 0
492 24.024260 6.570034 -3.325749 84 100 64 0
493 23.951653 6.633042 -3.389259 85 97 60 0
494 24.052683 6.655261 -3.370939 85 98 60 0
495 24.235498 8.161942 -3.418716 83 85 59 0
496 24.354322 8.192587 -3.404486 82 89 62 0
497 24.287357 8.253021 -3.396917 92 90 66 0
498 24.352337 8.273466 -3.433914 89 84 62 0
499 24.070375 8.849517 -3.420267 118 99 74 0
500 24.275639 8.919538 -3.440966 118 94 76 0
501 25.031746 9.155820 -3.428753 72 76 52 0
502 25.158028 9.220829 -3.420105 75 77 52 0
503 11.823103 -10.614103 -3.166899 153 142 141 0
504 10.793223 -1.008303 -3.281507 144 142 140 0
505 10.316530 -0.177726 -3.165714 161 155 152 0
506 10.461618 -0.203374 -3.232487 166 162 159 0
507 10.535599 -0.218360 -3.221725 168 163 160 0
508 10.651597 -0.228594 -3.274431 192 199 191 0
509 10.137671 -0.088645 -3.199493 152 145 140 0
510 10.242172 -0.035795 -3.256396 156 146 140 0
511 10.258391 0.019534 -3.216038 162 151 146 0
512 10.638248 0.442146 -3.164044 161 150 141 0
513 10.587379 0.525740 -3.192578 156 147 139 0
514 10.671559 0.535915 -3.200123 153 144 136 0
515 10.567377 0.604402 -3.200461 141 132 129 0
516 10.774484 0.617446 -3.227655 153 148 142 0
517 11.943638 1.949229 -3.159945 180 183 177 0
518 11.949260 1.961294 -3.178619 168 171 169 0
519 12.043653 1.968652 -3.196994 166 167 163 0
520 13.466843 2.363462 -3.234091 141 134 124 0
521 13.569383 2.387056 -3.229555 140 132 122 0
522 13.181844 2.427850 -3.271488 76 92 52 0
523 13.359609 2.824195 -3.183699 134 128 126 0
524 13.546533 2.820115 -3.261072 70 84 43 0
525 20.501513 3.133289 -3.260068 66 71 44 0
526 20.613478 3.132047 -3.239844 71 85 51 0
527 20.717316 3.111749 -3.208796 75 94 60 0
